Category	Number of Reads	Percent of Total	Percent of Section
B4-A5	125	3.441187158915551e-05	0.03547327018145287
C7-A5	84	2.31247777079125e-05	0.02383803756193633
A5-A10	137	3.771541126171444e-05	0.03887870411887235
C1-A10	108	2.973185705303036e-05	0.030648905436775283
B10-A1	268	7.37790526871494e-05	0.07605469126903495
C7-A3	120	3.303539672558929e-05	0.03405433937419476
B10-C7	63	1.7343583280934375e-05	0.017878528171452246
A1-B1	129	3.5513051480008485e-05	0.036608414827259364
A7-A8	197	5.423310962450908e-05	0.05590587380596972
A5-C2	75	2.0647122953493304e-05	0.021283962108871724
A10-A7	78	2.147300787163304e-05	0.022135320593226593
A7-A5	112	3.083303694388333e-05	0.031784050082581776
A7-C9	56	1.5416518471941665e-05	0.015892025041290888
B9-B7	207	5.698605935164153e-05	0.05874373542048596
A2-A5	107	2.9456562080317115e-05	0.03036511927532366
C9-B2	62	1.706828830822113e-05	0.017594742010000625
C9-A8	134	3.68895263435747e-05	0.03802734563451748
A7-A10	68	1.8720058144500598e-05	0.019297458978710363
B2-C2	85	2.3400072680625745e-05	0.024121823723387954
C3-C1	61	1.6792993335507888e-05	0.017310955848549
C3-A1	50	1.3764748635662203e-05	0.014189308072581149
C2-C9	96	2.6428317380471427e-05	0.027243471499355805
C3-B10	48	1.3214158690235714e-05	0.013621735749677902
A5-B4	91	2.505184251690521e-05	0.025824540692097688
B1-A8	133	3.661423137086146e-05	0.03774355947306586
A10-A2	154	4.2395425797839583e-05	0.04370306886354994
A12-B1	47	1.293886371752247e-05	0.01333794958822628
A7-B4	79	2.1748302844346283e-05	0.022419106754678217
B7-C3	143	3.9367181097993905e-05	0.04058142108758209
A5-B2	92	2.5327137489618452e-05	0.026108326853549312
A1-C7	77	2.1197712898919792e-05	0.02185153443177497
A2-C7	79	2.1748302844346283e-05	0.022419106754678217
B2-B9	103	2.835538218946414e-05	0.029229974629517163
A7-B10	82	2.2574187762486014e-05	0.023270465239033082
A7-A12	19	5.230604481551637e-06	0.005391937067580836
B10-A7	71	1.954594306264033e-05	0.02014881746306523
B1-B8	65	1.7894173226360863e-05	0.018446100494355494
C2-B8	64	1.761887825364762e-05	0.01816231433290387
A5-B8	63	1.7343583280934375e-05	0.017878528171452246
A10-C7	49	1.3489453662948959e-05	0.013905521911129527
B8-B7	159	4.377190066140581e-05	0.04512199967080805
B2-B8	62	1.706828830822113e-05	0.017594742010000625
C7-C1	48	1.3214158690235714e-05	0.013621735749677902
C7-B8	75	2.0647122953493304e-05	0.021283962108871724
A3-C3	104	2.863067716217738e-05	0.029513760790968787
B4-C7	47	1.293886371752247e-05	0.01333794958822628
B4-A8	120	3.303539672558929e-05	0.03405433937419476
C7-A10	62	1.706828830822113e-05	0.017594742010000625
C2-B2	89	2.4501252571478724e-05	0.025256968369194444
A5-C7	56	1.5416518471941665e-05	0.015892025041290888
A7-B1	76	2.0922417926206548e-05	0.021567748270323345
A1-A7	66	1.8169468199074107e-05	0.018729886655807118
A7-C7	45	1.2388273772095982e-05	0.012770377265323034
B2-A12	33	9.084734099537053e-06	0.009364943327903559
C9-B8	76	2.0922417926206548e-05	0.021567748270323345
A7-B8	36	9.910619017676786e-06	0.010216301812258428
B8-B1	43	1.1837683826669495e-05	0.012202804942419787
C3-A2	56	1.5416518471941665e-05	0.015892025041290888
C7-B1	57	1.5691813444654913e-05	0.01617581120274251
C7-C2	48	1.3214158690235714e-05	0.013621735749677902
A8-C1	69	1.899535311721384e-05	0.019581245140161983
C3-B2	37	1.018591399039003e-05	0.01050008797371005
C7-B4	46	1.2663568744809226e-05	0.013054163426774656
B8-C7	45	1.2388273772095982e-05	0.012770377265323034
B8-B10	76	2.0922417926206548e-05	0.021567748270323345
C3-A12	26	7.157669290544345e-06	0.007378440197742197
B9-A12	61	1.6792993335507888e-05	0.017310955848549
C1-C7	24	6.607079345117857e-06	0.006810867874838951
A12-C2	44	1.2112978799382738e-05	0.01248659110387141
C1-C3	46	1.2663568744809226e-05	0.013054163426774656
C7-A12	27	7.43296426325759e-06	0.007662226359193821
A12-C3	22	6.056489399691369e-06	0.006243295551935705
C1-B8	37	1.018591399039003e-05	0.01050008797371005
B8-A2	65	1.7894173226360863e-05	0.018446100494355494
C3-B1	59	1.62424033900814e-05	0.016743383525645757
A12-A8	75	2.0647122953493304e-05	0.021283962108871724
A7-C2	33	9.084734099537053e-06	0.009364943327903559
B2-C7	37	1.018591399039003e-05	0.01050008797371005
A12-C7	14	3.854129617985416e-06	0.003973006260322722
Unknown Reads	123143711	33.90084455955261	100.0
