Category	Number of Reads	Percent of Total	Percent of Section
B3-B2	1471	0.00040495890486118204	0.41744944349533736
C7-C9	2198	0.0006050983500237105	0.6237619828706673
C9-B3	428	0.00011782624832126846	0.12146047710129464
A11-B2	1010	0.00027804792244037654	0.2866240230661392
B2-B1	377	0.00010378620471289301	0.10698738286726187
A8-C9	116	3.193421683473631e-05	0.032919194728388265
A12-A2	5896	0.001623139159117287	1.6732032079187693
C10-B3	2747	0.0007562352900432815	0.7795605855076083
A2-C4	932	0.00025657491456874346	0.2644887024729126
C3-C2	166	4.5698965470398516e-05	0.04710850280096941
C4-C10	5626	0.001548809516484711	1.5965809443268308
C4-A11	1975	0.000543707571108657	0.5604776688669554
C9-C4	1002	0.00027584556265867056	0.2843537337745262
A8-A2	213	5.8637829187920984e-05	0.060446452389195694
B9-C7	62	1.706828830822113e-05	0.017594742010000625
C3-C10	435	0.00011975331313026116	0.123446980231456
C1-C4	567	0.0001560922495284094	0.1609067535430702
C2-B3	534	0.00014700751542887232	0.15154181021516666
C4-C3	1622	0.0004465284457408819	0.4603011538745325
C4-A1	1041	0.0002865820665944871	0.29542139407113954
A11-B1	608	0.00016737934340965238	0.17254198616258676
B3-C2	445	0.0001225062628573936	0.12628484184597222
C4-B9	878	0.0002417089860422283	0.24916424975452497
A10-B10	173	4.762603027939122e-05	0.04909500593113077
B3-C9	563	0.0001549910696375564	0.15977160889726372
A3-C10	1260	0.0003468716656186875	0.3575705634290449
C10-B4	573	0.00015774401936468886	0.16260947051177996
B10-A10	527	0.00014508045061987964	0.1495553070850053
A3-B10	383	0.00010543797454917248	0.10869009983597158
A1-A11	225	6.194136886047992e-05	0.06385188632661518
A11-C4	1846	0.0005081945196286486	0.5238692540396961
C10-A10	1170	0.0003220951180744956	0.3320298088983989
C10-C1	1079	0.00029704327555759034	0.3062052682063012
C1-B3	270	7.43296426325759e-05	0.0766222635919382
C4-C7	590	0.000162424033900814	0.16743383525645755
C2-A8	128	3.523775650729524e-05	0.03632462866580774
A10-A11	330	9.084734099537055e-05	0.09364943327903558
B2-A3	256	7.047551301459048e-05	0.07264925733161548
A11-C10	1014	0.00027914910233122945	0.2877591677119457
B3-B8	391	0.00010764033433087843	0.11096038912758459
C4-C9	1826	0.0005026886201743837	0.5181935308106635
B1-A10	391	0.00010764033433087843	0.11096038912758459
C3-C9	146	4.019306601613363e-05	0.04143277957193695
B10-B7	192	5.2856634760942854e-05	0.05448694299871161
B9-C4	1011	0.0002783232174130897	0.28690780922759085
C9-A12	98	2.6978907325897918e-05	0.027811043822259053
C10-C4	4550	0.0012525921258452605	1.2912270346048846
B3-A10	1134	0.0003121844990568188	0.3218135070861404
B10-C4	949	0.00026125492910486866	0.2693130672175902
A7-B9	82	2.2574187762486014e-05	0.023270465239033082
C4-C1	826	0.0002273936474611396	0.2344073693590406
A10-C4	1410	0.0003881659115256741	0.4001384876467884
B7-B4	395	0.00010874151422173142	0.11209553377339108
A1-B7	176	4.8451915197530953e-05	0.04994636441548564
A8-A7	259	7.130139793273021e-05	0.07350061581597035
A11-B7	345	9.497676558606921e-05	0.09790622570080992
A10-C9	156	4.294601574326608e-05	0.044270641186453186
B3-B4	553	0.00015223811991042397	0.1569337472827475
A2-C9	384	0.00010571326952188571	0.10897388599742322
B7-B3	720	0.00019821238035353571	0.20432603624516854
A2-A3	298	8.203790186854674e-05	0.08456827611258365
B1-C4	791	0.00021775832341617605	0.22447485370823378
C4-B10	1123	0.0003091562543569731	0.31869185931017263
A10-A3	394	0.00010846621924901817	0.11181174761193945
A3-A5	259	7.130139793273021e-05	0.07350061581597035
B7-C4	2105	0.0005794959175613787	0.5973698698556663
C4-A3	2339	0.000643914941176278	0.6637758316353461
B8-A12	25	6.882374317831101e-06	0.007094654036290574
B3-B7	760	0.0002092241792620655	0.21567748270323348
C7-B10	71	1.954594306264033e-05	0.02014881746306523
A8-A1	228	6.276725377861965e-05	0.06470324481097003
B7-C9	234	6.441902361489912e-05	0.06640596177967976
A12-B8	45	1.2388273772095982e-05	0.012770377265323034
B10-A11	456	0.0001255345075572393	0.12940648962194007
B7-B10	186	5.12048649246634e-05	0.05278422603000188
C2-C7	29	7.983554208684078e-06	0.008229798682097066
B8-C1	48	1.3214158690235714e-05	0.013621735749677902
B3-C10	2776	0.0007642188442519656	0.7877903841897054
A3-B3	871	0.00023978192123323558	0.24717774662436362
C4-B1	857	0.0002359277916152502	0.24320474036404088
A5-B3	567	0.0001560922495284094	0.1609067535430702
B3-A11	1381	0.00038018235731699003	0.3919086889646913
A12-A10	142	3.909188612528066e-05	0.04029763492613046
A2-B10	233	6.414372864218587e-05	0.06612217561822815
A10-B9	137	3.771541126171444e-05	0.03887870411887235
A5-A2	93	2.56024324623317e-05	0.02639211301500094
A8-B9	140	3.854129617985417e-05	0.039730062603227215
B2-B3	514	0.00014150161597460746	0.1458660869861342
B8-B9	584	0.00016077226406453453	0.1657311182877478
C10-A5	573	0.00015774401936468886	0.16260947051177996
C7-A11	135	3.716482131628795e-05	0.0383111317959691
B8-C4	404	0.00011121916897615061	0.11464960922645567
B1-C9	111	3.055774197117009e-05	0.03150026392113015
A11-A2	1103	0.0003036503549027082	0.31301613608114015
C10-B10	623	0.00017150876800035107	0.1767987785843611
B9-C3	68	1.8720058144500598e-05	0.019297458978710363
B3-A3	1116	0.00030722918954798035	0.3167053561800112
B1-A5	89	2.4501252571478724e-05	0.025256968369194444
B9-A10	168	4.6249555415825e-05	0.04767607512387266
A8-A3	195	5.3682519679082596e-05	0.055338301483066475
A10-C2	198	5.450840459722233e-05	0.05618965996742135
C4-A2	982	0.00027033966320440565	0.2786780105454938
B1-A7	66	1.8169468199074107e-05	0.018729886655807118
A7-A11	99	2.7254202298611165e-05	0.028094829983710674
B10-B3	409	0.00011259564383971683	0.11606854003371381
C7-B2	38	1.0461208963103274e-05	0.010783874135161672
C2-C10	662	0.00018224527193616758	0.1878664388809744
C9-A3	225	6.194136886047992e-05	0.06385188632661518
C10-A7	499	0.00013737219138390877	0.14160929456435986
B10-C2	137	3.771541126171444e-05	0.03887870411887235
C10-B2	525	0.00014452986067445313	0.14898773476210206
C9-C3	59	1.62424033900814e-05	0.016743383525645757
A3-B2	188	5.175545487008988e-05	0.05335179835290512
B8-B2	40	1.1011798908529763e-05	0.011351446458064919
C3-B4	46	1.2663568744809226e-05	0.013054163426774656
A2-A1	370	0.0001018591399039003	0.1050008797371005
C7-C4	435	0.00011975331313026116	0.123446980231456
A3-C7	118	3.24848067801628e-05	0.03348676705129151
C10-A3	1413	0.0003889917964438139	0.40098984613114325
A1-B9	116	3.193421683473631e-05	0.032919194728388265
B7-B2	119	3.276010175287605e-05	0.03377055321274314
B10-B9	216	5.946371410606072e-05	0.061297810873550566
C10-C3	525	0.00014452986067445313	0.14898773476210206
C1-A3	138	3.799070623442768e-05	0.03916249028032397
